MESS_DATUM;FX;FM;RSK;RSKF;SDK;NM;VPM;PM;TMK;UPM;TXK;TNK;TGK
19690701;4.8;1.1;0.0;0;0;4.7;14.1;1013.10;19.0;65.00;24.0;10.2;8.2
19690702;6.7;2.1;0.0;0;0;2.0;15.6;1012.80;21.4;62.00;26.3;13.6;11.4
19690703;6.1;1.9;0.0;0;0;5.3;17.6;1016.20;20.2;74.00;24.7;14.6;12.9
19690704;6.8;2.1;0.0;0;0;2.7;11.7;1017.10;18.3;57.00;23.9;14.1;13.4
19690705;9.0;3.7;0.0;0;0;5.3;14.0;1013.20;19.4;62.00;25.2;14.6;12.6
19690706;6.4;2.0;17.2;1;0;7.0;14.0;1008.40;19.9;61.00;24.1;12.5;11.2
19690707;20.0;7.3;1.3;1;0;7.7;12.3;1001.90;13.2;77.00;19.5;11.2;15.0
19690708;10.8;4.3;5.3;1;0;7.0;11.9;1009.90;13.2;78.00;16.0;10.4;9.2
19690709;11.8;2.8;3.1;1;0;5.3;11.7;1013.90;12.0;85.00;15.9;10.0;9.2
19690710;11.1;2.5;1.9;1;0;7.0;12.0;1020.40;13.3;78.00;16.7;10.0;9.0
19690711;13.7;4.2;13.6;1;0;7.3;14.0;1019.60;13.9;87.00;17.6;10.5;9.3
19690712;8.0;3.2;0.0;1;0;6.7;14.7;1024.30;17.1;76.00;20.6;10.5;8.6
19690713;11.1;3.1;0.0;1;0;6.3;16.1;1024.80;18.0;78.00;23.1;14.1;14.3
19690714;6.5;2.2;0.0;0;0;5.3;14.9;1025.20;16.1;81.00;18.8;12.6;10.8
19690715;8.5;2.9;0.0;0;0;0.0;14.3;1020.40;21.5;57.00;28.4;11.1;8.4
19690716;23.7;5.1;14.5;1;0;3.7;17.9;1014.30;25.0;55.00;32.3;17.0;13.1
19690717;8.2;3.2;0.0;0;0;6.0;19.1;1018.40;19.4;85.00;24.0;16.1;14.5
19690718;5.7;1.3;0.0;0;0;3.3;14.1;1021.60;19.1;64.00;24.6;12.0;10.1
19690719;8.3;2.8;0.0;0;0;2.3;14.1;1019.00;20.5;61.00;25.8;13.3;12.6
19690720;11.1;4.1;0.0;0;0;5.3;16.4;1018.60;19.1;73.00;23.5;17.0;17.3
19690721;6.1;1.9;0.0;0;0;5.3;18.0;1018.40;20.7;74.00;26.0;14.5;13.4
19690722;6.0;1.7;0.0;0;0;0.3;19.6;1016.00;23.2;70.00;28.8;15.1;14.0
19690723;9.2;2.5;0.0;0;0;3.0;20.4;1013.80;25.4;63.00;32.7;16.6;15.0
19690724;11.9;3.1;0.5;1;0;6.0;20.3;1012.30;24.7;63.00;33.3;20.7;17.7
19690725;8.0;2.4;0.0;0;0;8.0;20.5;1017.40;21.0;83.00;23.3;17.9;16.4
19690726;5.0;1.4;0.0;1;0;6.3;21.3;1016.40;21.8;81.00;26.1;18.1;17.3
19690727;8.0;2.0;0.0;0;0;3.3;19.3;1017.50;22.4;71.00;26.8;18.7;17.0
19690728;7.0;2.0;0.0;0;0;2.3;20.0;1012.80;25.3;65.00;31.2;15.4;14.4
19690729;13.0;4.8;0.0;0;0;1.3;18.3;1007.50;24.2;58.00;31.9;20.7;19.3
19690730;8.9;2.7;0.0;0;0;7.3;18.0;1015.00;20.8;75.00;25.3;16.3;15.1
19690731;9.7;2.9;7.9;1;0;5.7;18.8;1013.60;19.0;84.00;24.9;17.8;17.8
19690801;9.4;1.8;7.9;1;0;4.7;18.9;1008.40;22.9;71.00;30.2;15.5;14.2
19690802;12.2;3.1;6.2;1;0;3.0;19.3;1007.90;22.9;68.00;31.0;19.2;16.2
19690803;6.4;2.2;0.0;0;0;5.0;17.1;1013.00;21.0;70.00;26.2;17.1;16.4
19690804;5.2;1.5;0.0;0;0;0.3;16.7;1016.30;21.9;65.00;29.6;15.0;12.9
19690805;11.2;2.0;0.0;0;0;3.3;18.9;1016.40;23.8;64.00;31.1;16.9;14.5
19690806;8.0;3.1;0.0;0;0;4.7;17.7;1019.20;21.0;72.00;25.9;18.1;16.4
19690807;8.8;2.7;0.0;0;0;3.3;14.0;1019.60;18.8;67.00;24.8;12.7;10.8
19690808;7.6;2.3;0.0;0;0;2.0;14.7;1017.90;21.6;59.00;27.9;13.3;10.5
19690809;8.9;2.0;0.0;0;0;1.7;13.2;1014.80;23.4;49.00;30.4;13.8;12.0
19690810;7.0;2.1;0.0;0;0;1.0;11.6;1011.90;22.4;45.00;29.7;13.8;11.3
19690811;9.0;2.6;0.0;0;0;1.0;10.9;1010.30;22.0;43.00;28.8;12.5;9.5
19690812;11.8;4.9;6.3;1;0;5.7;12.3;1007.60;19.9;53.00;27.3;16.6;14.9
19690813;5.0;1.3;0.5;1;0;5.0;16.1;1009.90;17.5;80.00;21.1;15.2;14.8
19690814;6.6;1.7;0.2;1;0;6.3;16.0;1006.00;19.6;72.00;25.6;13.9;10.5
19690815;10.8;3.2;5.5;1;0;8.0;18.1;1001.90;18.5;85.00;22.6;16.2;10.5
19690816;8.5;4.1;7.2;1;0;8.0;17.9;1003.80;17.4;91.00;19.2;15.6;15.3
19690817;9.2;3.9;0.1;1;0;5.7;18.4;1013.10;18.1;87.00;22.3;16.6;16.0
19690818;8.0;2.8;0.0;0;0;4.7;15.5;1018.60;17.2;79.00;22.3;15.1;15.0
19690819;7.2;3.2;9.2;1;0;6.3;17.6;1016.60;17.5;89.00;20.5;14.3;13.0
19690820;13.0;3.6;9.1;1;0;5.7;16.1;1007.60;15.1;90.00;18.2;13.5;16.5
19690821;17.7;5.9;5.5;1;0;4.7;13.1;1004.60;13.6;83.00;17.7;10.5;10.9
19690822;11.1;4.7;15.6;1;0;7.0;12.0;1004.40;12.6;82.00;17.8;10.3;9.4
19690823;9.8;4.1;3.9;1;0;6.0;11.9;1003.50;13.0;80.00;16.1;10.6;10.0
19690824;11.5;5.7;13.6;1;0;7.7;15.1;1006.00;14.3;94.00;17.5;11.1;9.5
19690825;11.0;5.0;6.3;1;0;7.3;12.1;1007.40;13.5;78.00;17.7;11.4;11.1
19690826;11.9;3.4;13.4;1;0;7.7;12.3;1004.70;11.6;90.00;14.1;8.8;7.4
19690827;14.0;5.0;15.7;1;0;7.7;13.1;1003.60;13.1;86.00;17.4;10.2;8.9
19690828;12.5;4.6;32.7;1;0;7.7;13.9;1001.50;13.3;90.00;16.5;10.8;10.4
19690829;10.7;3.7;6.1;1;0;7.0;14.1;1005.90;15.5;81.00;19.6;12.6;12.4
19690830;8.1;3.0;0.0;1;0;7.3;14.1;1015.00;15.1;80.00;18.1;12.1;11.0
19690831;4.0;0.8;0.0;0;0;4.7;13.3;1020.70;14.1;83.00;19.8;8.0;7.2
19690901;6.7;1.8;0.0;1;0;5.3;13.6;1021.40;14.3;85.00;17.4;8.4;7.0
19690902;6.6;2.4;0.0;0;0;4.3;13.2;1019.80;13.7;82.00;18.0;12.2;12.0
19690903;8.4;3.0;0.0;0;0;1.7;12.0;1015.20;14.6;72.00;19.6;10.0;8.3
19690904;8.3;2.0;0.0;0;0;5.0;12.9;1015.80;14.1;78.00;19.3;11.1;9.0
19690905;6.7;1.6;0.0;0;0;0.7;12.3;1018.00;14.4;75.00;20.5;7.3;5.9
19690906;9.0;3.0;0.0;0;0;0.3;13.2;1019.40;15.4;75.00;21.4;8.7;7.2
19690907;8.9;3.2;0.0;0;0;1.3;14.3;1017.80;16.4;76.00;21.4;10.3;8.3
19690908;5.3;1.5;0.0;0;0;0.7;13.9;1014.00;16.7;75.00;23.6;9.7;7.5
